"","AGE","MARSTAT","CLASS","SEX","HHINCOME","RACE","RELIGION","HAPPY"
"1","30to64","SINGLE","Lower salariat","Men",6,"white",1,21
"2","30to64","MARRIED","Manual labour","Men",9,"white",1,26
"3","Under30","SINGLE","Lower salariat","Women",6,"white",0,29
"4","Under30","SINGLE","Manual labour","Men",3,"white",0,19
"5","65plus","MARRIED","Upper salariat","Men",8,"white",0,27
"6","65plus","MARRIED","Manual labour","Men",7,"white",0,21
"7","65plus","MARRIED","Manual labour","Men",5,"white",0,19
"8","Under30","SINGLE","Lower salariat","Men",5,"white",0,27
"9","30to64","MARRIED","Upper salariat","Men",10,"white",0,28
"10","Under30","MARRIED","Manual labour","Women",6,"white",0,26
"11","Under30","MARRIED","Manual labour","Men",6,"white",0,22
"12","Under30","SINGLE","Lower salariat","Men",7,"white",1,21
"13","30to64","MARRIED","Manual labour","Women",8,"white",0,26
"14","30to64","MARRIED","Manual labour","Men",8,"white",0,27
"15","30to64","SEPARATED OR DIVORCED","Upper salariat","Men",8,"white",0,27
"16","65plus","MARRIED","Manual labour","Men",3,"white",0,21
"17","65plus","WIDOWED","Manual labour","Men",4,"white",0,18
"18","65plus","SINGLE","Manual labour","Women",3,"white",0,18
"19","65plus","MARRIED","Manual labour","Men",8,"white",0,28
"20","65plus","MARRIED","Manual labour","Women",5,"white",0,21
"21","65plus","WIDOWED","Manual labour","Men",4,"white",0,24
"22","65plus","MARRIED","Manual labour","Men",8,"white",0,25
"23","65plus","MARRIED","Manual labour","Men",6,"white",0,21
"24","65plus","WIDOWED","Lower salariat","Women",6,"white",0,19
"25","65plus","WIDOWED","Routine nonmanual","Men",5,"white",0,14
"26","65plus","MARRIED","Upper salariat","Men",5,"white",0,16
"27","65plus","WIDOWED","Manual labour","Women",4,"white",0,23
"28","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,23
"29","30to64","MARRIED","Manual labour","Men",9,"white",0,25
"30","30to64","SEPARATED OR DIVORCED","Manual labour","Men",7,"white",1,19
"31","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,22
"32","30to64","SEPARATED OR DIVORCED","Lower salariat","Men",9,"white",0,24
"33","30to64","SINGLE","Routine nonmanual","Women",6,"white",0,27
"34","30to64","SEPARATED OR DIVORCED","Lower salariat","Men",6,"white",1,15
"35","30to64","MARRIED","Manual labour","Men",3,"white",0,17
"36","65plus","MARRIED","Self employed","Men",5,"white",0,23
"37","30to64","MARRIED","Routine nonmanual","Women",6,"white",0,25
"38","Under30","SINGLE","Routine nonmanual","Women",6,"white",0,13
"39","30to64","MARRIED","Manual labour","Men",5,"white",0,24
"40","30to64","MARRIED","Manual labour","Men",6,"white",0,24
"41","Under30","MARRIED","Manual labour","Men",4,"white",0,22
"42","Under30","MARRIED","Manual labour","Women",5,"white",0,23
"43","30to64","SINGLE","Routine nonmanual","Women",7,"white",0,25
"44","30to64","SEPARATED OR DIVORCED","Manual labour","Women",3,"white",0,18
"45","Under30","SINGLE","Manual labour","Women",3,"white",0,22
"46","Under30","SINGLE","Lower salariat","Women",7,"white",0,26
"47","65plus","WIDOWED","Upper salariat","Women",3,"white",0,29
"48","Under30","SINGLE","Manual labour","Men",10,"white",0,23
"49","30to64","MARRIED","Lower salariat","Women",8,"white",0,24
"50","Under30","SINGLE","Routine nonmanual","Women",6,"white",0,27
"51","30to64","MARRIED","Manual labour","Men",9,"white",0,27
"52","Under30","SINGLE","Lower salariat","Women",4,"white",0,27
"53","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,23
"54","Under30","MARRIED","Manual labour","Women",6,"white",0,23
"55","30to64","MARRIED","Manual labour","Men",8,"white",0,22
"56","30to64","MARRIED","Manual labour","Men",7,"white",0,25
"57","30to64","MARRIED","Manual labour","Men",10,"white",0,23
"58","30to64","SEPARATED OR DIVORCED","Manual labour","Men",6,"white",0,19
"59","Under30","MARRIED","Lower salariat","Women",8,"white",0,20
"60","Under30","SINGLE","Manual labour","Men",3,"white",0,23
"61","65plus","WIDOWED","Manual labour","Women",3,"white",0,20
"62","30to64","MARRIED","Routine nonmanual","Women",9,"white",0,25
"63","30to64","MARRIED","Upper salariat","Women",7,"white",0,24
"64","Under30","SINGLE","Lower salariat","Women",6,"white",0,21
"65","Under30","MARRIED","Routine nonmanual","Women",9,"white",0,25
"66","30to64","MARRIED","Lower salariat","Men",10,"white",0,24
"67","30to64","MARRIED","Manual labour","Men",8,"white",0,26
"68","Under30","MARRIED","Self employed","Men",9,"white",0,24
"69","30to64","MARRIED","Manual labour","Men",8,"white",0,23
"70","30to64","MARRIED","Self employed","Men",9,"white",0,24
"71","30to64","MARRIED","Manual labour","Men",8,"white",0,22
"72","Under30","SINGLE","Lower salariat","Men",9,"white",0,24
"73","65plus","WIDOWED","Lower salariat","Women",8,"white",0,26
"74","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",6,"white",0,24
"75","30to64","MARRIED","Upper salariat","Men",10,"white",0,20
"76","30to64","MARRIED","Lower salariat","Women",9,"white",0,21
"77","30to64","MARRIED","Manual labour","Men",8,"white",0,21
"78","Under30","SINGLE","Manual labour","Women",9,"white",1,23
"79","65plus","MARRIED","Manual labour","Men",7,"white",0,22
"80","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,27
"81","30to64","SINGLE","Lower salariat","Women",8,"white",0,22
"82","30to64","SEPARATED OR DIVORCED","Upper salariat","Women",6,"white",0,25
"83","30to64","MARRIED","Manual labour","Women",7,"white",0,23
"84","65plus","MARRIED","Manual labour","Men",8,"white",0,23
"85","Under30","SINGLE","Manual labour","Men",6,"white",0,23
"86","30to64","SINGLE","Manual labour","Men",5,"white",1,23
"87","Under30","SINGLE","Manual labour","Men",7,"white",1,25
"88","30to64","SINGLE","Routine nonmanual","Women",7,"white",1,23
"89","30to64","MARRIED","Routine nonmanual","Men",10,"white",0,25
"90","65plus","MARRIED","Self employed","Men",8,"white",0,29
"91","65plus","WIDOWED","Manual labour","Women",3,"white",0,24
"92","Under30","MARRIED","Manual labour","Men",3,"white",1,20
"93","65plus","MARRIED","Manual labour","Women",6,"white",0,26
"94","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,22
"95","Under30","MARRIED","Upper salariat","Women",7,"white",0,25
"96","30to64","MARRIED","Lower salariat","Women",6,"white",0,22
"97","30to64","MARRIED","Routine nonmanual","Men",8,"white",0,26
"98","30to64","SEPARATED OR DIVORCED","Manual labour","Men",8,"white",1,23
"99","30to64","MARRIED","Routine nonmanual","Women",5,"white",0,29
"100","Under30","MARRIED","Manual labour","Men",7,"white",0,27
"101","Under30","MARRIED","Manual labour","Men",7,"white",0,22
"102","30to64","SINGLE","Manual labour","Men",5,"white",1,19
"103","Under30","SINGLE","Lower salariat","Men",4,"white",1,23
"104","30to64","MARRIED","Lower salariat","Women",6,"white",0,22
"105","65plus","WIDOWED","Lower salariat","Women",4,"white",0,23
"106","30to64","MARRIED","Upper salariat","Men",10,"white",1,25
"107","30to64","MARRIED","Manual labour","Men",7,"white",0,26
"108","30to64","MARRIED","Manual labour","Men",8,"white",0,18
"109","30to64","MARRIED","Routine nonmanual","Women",9,"white",0,27
"110","Under30","MARRIED","Manual labour","Men",8,"white",0,22
"111","Under30","MARRIED","Routine nonmanual","Women",9,"white",0,23
"112","65plus","MARRIED","Manual labour","Men",5,"white",0,24
"113","65plus","MARRIED","Manual labour","Men",5,"white",0,24
"114","65plus","MARRIED","Routine nonmanual","Women",6,"white",0,23
"115","65plus","SEPARATED OR DIVORCED","Routine nonmanual","Women",5,"white",0,22
"116","65plus","WIDOWED","Manual labour","Women",4,"white",0,25
"117","65plus","WIDOWED","Routine nonmanual","Women",4,"white",0,21
"118","65plus","SEPARATED OR DIVORCED","Manual labour","Men",5,"white",1,22
"119","65plus","WIDOWED","Upper salariat","Men",8,"white",0,27
"120","65plus","WIDOWED","Manual labour","Men",4,"white",0,17
"121","65plus","WIDOWED","Manual labour","Women",6,"white",0,26
"122","65plus","MARRIED","Manual labour","Men",6,"white",0,23
"123","65plus","WIDOWED","Upper salariat","Men",7,"white",0,25
"124","65plus","MARRIED","Manual labour","Women",8,"white",0,25
"125","65plus","WIDOWED","Manual labour","Women",4,"white",0,21
"126","65plus","MARRIED","Self employed","Men",4,"white",0,26
"127","65plus","MARRIED","Self employed","Men",6,"white",0,21
"128","65plus","WIDOWED","Lower salariat","Women",5,"white",1,24
"129","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,20
"130","Under30","MARRIED","Manual labour","Men",8,"white",1,23
"131","30to64","MARRIED","Manual labour","Men",10,"white",0,23
"132","30to64","MARRIED","Lower salariat","Women",8,"white",0,20
"133","Under30","MARRIED","Manual labour","Women",7,"Nonwhite",0,17
"134","65plus","MARRIED","Self employed","Men",10,"white",0,25
"135","Under30","SINGLE","Lower salariat","Men",6,"white",0,21
"136","65plus","MARRIED","Upper salariat","Men",6,"white",0,21
"137","Under30","SINGLE","Lower salariat","Women",6,"white",0,22
"138","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,24
"139","30to64","MARRIED","Manual labour","Men",6,"white",0,21
"140","65plus","WIDOWED","Manual labour","Women",6,"white",0,24
"141","30to64","MARRIED","Manual labour","Women",7,"white",0,23
"142","65plus","MARRIED","Manual labour","Men",5,"white",0,24
"143","Under30","SINGLE","Manual labour","Women",3,"white",0,17
"144","65plus","WIDOWED","Routine nonmanual","Women",3,"white",0,21
"145","65plus","WIDOWED","Routine nonmanual","Women",4,"white",0,20
"146","65plus","MARRIED","Manual labour","Men",7,"white",0,24
"147","65plus","MARRIED","Routine nonmanual","Men",6,"white",0,25
"148","65plus","MARRIED","Self employed","Men",8,"white",0,25
"149","65plus","MARRIED","Upper salariat","Women",8,"white",1,23
"150","65plus","MARRIED","Manual labour","Men",7,"white",0,26
"151","65plus","WIDOWED","Manual labour","Women",6,"white",0,29
"152","65plus","WIDOWED","Manual labour","Men",3,"white",0,22
"153","65plus","SINGLE","Self employed","Men",5,"white",0,24
"154","65plus","MARRIED","Upper salariat","Men",4,"white",0,27
"155","65plus","MARRIED","Upper salariat","Men",8,"white",0,25
"156","65plus","MARRIED","Self employed","Men",6,"white",0,22
"157","65plus","MARRIED","Manual labour","Men",3,"white",1,13
"158","65plus","WIDOWED","Routine nonmanual","Women",3,"white",0,18
"159","Under30","SINGLE","Manual labour","Men",8,"white",0,16
"160","30to64","SINGLE","Manual labour","Men",3,"white",1,23
"161","Under30","SINGLE","Manual labour","Men",6,"white",0,23
"162","30to64","MARRIED","Manual labour","Men",9,"white",0,21
"163","30to64","MARRIED","Manual labour","Women",9,"white",0,25
"164","65plus","MARRIED","Upper salariat","Men",5,"white",0,23
"165","Under30","SINGLE","Manual labour","Men",9,"white",0,21
"166","30to64","MARRIED","Manual labour","Men",6,"white",0,17
"167","65plus","MARRIED","Manual labour","Men",4,"white",0,20
"168","30to64","MARRIED","Manual labour","Men",7,"white",0,23
"169","30to64","MARRIED","Routine nonmanual","Women",9,"Nonwhite",1,21
"170","65plus","MARRIED","Self employed","Men",7,"white",0,22
"171","30to64","WIDOWED","Lower salariat","Women",5,"white",0,28
"172","Under30","MARRIED","Routine nonmanual","Women",5,"white",1,19
"173","65plus","WIDOWED","Manual labour","Men",3,"white",0,23
"174","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,20
"175","30to64","MARRIED","Lower salariat","Men",9,"white",0,25
"176","Under30","MARRIED","Routine nonmanual","Women",8,"white",0,23
"177","30to64","SINGLE","Manual labour","Men",7,"white",0,19
"178","30to64","MARRIED","Lower salariat","Men",9,"white",0,26
"179","30to64","MARRIED","Manual labour","Men",6,"white",0,26
"180","Under30","MARRIED","Lower salariat","Men",6,"white",0,22
"181","65plus","MARRIED","Manual labour","Women",5,"white",0,26
"182","30to64","MARRIED","Manual labour","Men",7,"white",0,24
"183","30to64","SINGLE","Manual labour","Men",7,"white",0,20
"184","Under30","SINGLE","Lower salariat","Women",4,"white",0,29
"185","30to64","SEPARATED OR DIVORCED","Manual labour","Men",4,"white",0,23
"186","Under30","SINGLE","Upper salariat","Men",9,"white",0,22
"187","30to64","MARRIED","Lower salariat","Men",8,"white",1,25
"188","30to64","SINGLE","Lower salariat","Women",6,"white",0,17
"189","Under30","MARRIED","Lower salariat","Men",10,"white",0,30
"190","Under30","MARRIED","Manual labour","Men",8,"white",0,25
"191","30to64","MARRIED","Lower salariat","Men",8,"white",0,20
"192","30to64","SINGLE","Lower salariat","Women",8,"white",0,28
"193","30to64","MARRIED","Routine nonmanual","Women",6,"white",0,24
"194","30to64","MARRIED","Manual labour","Men",8,"white",0,29
"195","65plus","WIDOWED","Lower salariat","Women",4,"white",0,27
"196","65plus","MARRIED","Upper salariat","Men",7,"white",0,29
"197","65plus","WIDOWED","Upper salariat","Women",6,"white",0,27
"198","30to64","SEPARATED OR DIVORCED","Routine nonmanual","Women",3,"white",0,19
"199","30to64","MARRIED","Lower salariat","Women",9,"white",1,23
"200","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,21
"201","30to64","SINGLE","Manual labour","Men",4,"white",0,18
"202","30to64","MARRIED","Manual labour","Men",6,"white",0,23
"203","30to64","MARRIED","Manual labour","Men",7,"white",1,26
"204","30to64","SEPARATED OR DIVORCED","Manual labour","Men",4,"white",0,20
"205","Under30","MARRIED","Manual labour","Women",5,"white",0,21
"206","65plus","MARRIED","Manual labour","Men",5,"white",0,25
"207","Under30","MARRIED","Manual labour","Women",7,"white",0,23
"208","65plus","MARRIED","Routine nonmanual","Women",4,"white",0,23
"209","Under30","MARRIED","Lower salariat","Women",8,"white",0,25
"210","30to64","MARRIED","Lower salariat","Women",6,"white",0,24
"211","30to64","MARRIED","Upper salariat","Women",10,"white",0,22
"212","30to64","MARRIED","Lower salariat","Women",9,"white",0,21
"213","30to64","MARRIED","Upper salariat","Men",6,"white",0,20
"214","30to64","MARRIED","Lower salariat","Women",8,"white",0,24
"215","30to64","SEPARATED OR DIVORCED","Manual labour","Women",3,"white",0,15
"216","Under30","MARRIED","Manual labour","Men",5,"white",0,25
"217","30to64","MARRIED","Lower salariat","Men",8,"white",0,26
"218","30to64","MARRIED","Lower salariat","Men",9,"white",0,26
"219","Under30","SINGLE","Manual labour","Women",3,"white",0,16
"220","Under30","MARRIED","Lower salariat","Men",9,"white",0,22
"221","Under30","SINGLE","Upper salariat","Women",8,"white",0,24
"222","Under30","MARRIED","Manual labour","Men",6,"white",0,26
"223","30to64","MARRIED","Routine nonmanual","Men",8,"white",0,28
"224","65plus","MARRIED","Manual labour","Women",4,"white",0,19
"225","30to64","MARRIED","Upper salariat","Men",10,"white",1,25
"226","30to64","SEPARATED OR DIVORCED","Manual labour","Women",7,"white",0,29
"227","30to64","MARRIED","Manual labour","Men",8,"white",0,26
"228","30to64","WIDOWED","Manual labour","Women",5,"white",0,26
"229","Under30","SINGLE","Upper salariat","Women",4,"white",0,25
"230","30to64","MARRIED","Lower salariat","Men",9,"white",0,23
"231","30to64","MARRIED","Manual labour","Men",8,"white",0,29
"232","30to64","MARRIED","Routine nonmanual","Women",8,"white",0,27
"233","30to64","MARRIED","Manual labour","Men",8,"white",0,20
"234","30to64","MARRIED","Lower salariat","Men",6,"white",0,24
"235","30to64","MARRIED","Manual labour","Men",8,"white",0,23
"236","30to64","MARRIED","Upper salariat","Women",8,"white",0,30
"237","30to64","MARRIED","Manual labour","Women",10,"white",0,27
"238","30to64","MARRIED","Routine nonmanual","Women",7,"white",0,25
"239","30to64","MARRIED","Lower salariat","Women",4,"white",0,24
"240","Under30","SINGLE","Upper salariat","Women",3,"white",0,26
"241","Under30","MARRIED","Manual labour","Men",4,"white",0,18
"242","Under30","SINGLE","Manual labour","Men",8,"white",0,27
"243","30to64","SINGLE","Manual labour","Men",5,"white",0,21
"244","Under30","SINGLE","Manual labour","Women",3,"white",0,21
"245","65plus","SINGLE","Upper salariat","Women",4,"white",0,25
"246","Under30","MARRIED","Lower salariat","Men",7,"white",0,29
"247","30to64","MARRIED","Manual labour","Women",7,"white",0,30
"248","30to64","MARRIED","Lower salariat","Women",8,"white",0,25
"249","Under30","MARRIED","Manual labour","Women",7,"white",0,20
"250","30to64","MARRIED","Routine nonmanual","Men",9,"white",0,27
"251","30to64","MARRIED","Lower salariat","Women",7,"white",0,26
"252","65plus","MARRIED","Manual labour","Men",7,"white",0,19
"253","65plus","MARRIED","Manual labour","Men",5,"white",0,26
"254","Under30","MARRIED","Lower salariat","Men",7,"white",0,22
"255","65plus","MARRIED","Manual labour","Men",4,"white",0,25
"256","Under30","MARRIED","Upper salariat","Women",9,"white",0,23
"257","30to64","WIDOWED","Upper salariat","Women",4,"white",0,25
"258","30to64","MARRIED","Manual labour","Women",6,"white",0,13
"259","Under30","SINGLE","Lower salariat","Men",10,"white",0,22
"260","Under30","SINGLE","Manual labour","Men",3,"white",0,22
"261","30to64","SINGLE","Manual labour","Men",3,"white",0,20
"262","30to64","MARRIED","Manual labour","Women",10,"white",0,23
"263","30to64","MARRIED","Manual labour","Women",4,"white",0,20
"264","Under30","SINGLE","Manual labour","Women",5,"white",0,24
"265","30to64","MARRIED","Manual labour","Men",5,"white",0,10
"266","65plus","SEPARATED OR DIVORCED","Manual labour","Women",3,"white",0,22
"267","30to64","MARRIED","Routine nonmanual","Men",8,"white",0,25
