"state.of.res","custid","sex","is.employed","income","marital.stat","health.ins","housing.type","recent.move","num.vehicles","age","is.employed.fix1","Median.Income","income.norm","gp","income.lt.30K","age.range","Income"
"Alabama",1063014,"F",TRUE,82000,"Married",TRUE,"Rented",FALSE,2,43,"employed",52371,1.56575203834183,0.935059992130846,FALSE,"(25,65]",NA
"Alabama",1192089,"M",NA,49000,"Married",TRUE,"Homeowner free and clear",FALSE,2,77,"missing",52371,0.935632315594508,0.11624109861441,FALSE,"(65,Inf]",NA
"Alabama",16551,"F",NA,7000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,46,"missing",52371,0.133661759370644,0.990683228475973,TRUE,"(25,65]",4500
"Alabama",1079878,"F",NA,37200,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,1,62,"missing",52371,0.710316778369708,0.187355963746086,FALSE,"(25,65]",20000
"Alabama",502705,"M",TRUE,70000,"Married",FALSE,"Rented",FALSE,4,37,"employed",52371,1.33661759370644,0.849023753078654,FALSE,"(25,65]",12000
"Alabama",674271,"M",FALSE,0,"Married",TRUE,"Rented",TRUE,1,54,"not employed",52371,0,0.329508487368003,TRUE,"(25,65]",180000
"Alabama",15917,"F",TRUE,24000,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,1,70,"employed",52371,0.45826888927078,0.509794325102121,TRUE,"(65,Inf]",120000
"Alabama",467335,"M",TRUE,42600,"Never Married",FALSE,"Rented",FALSE,1,33,"employed",52371,0.813427278455634,0.325397768057883,FALSE,"(25,65]",40000
"Alabama",462569,"M",NA,22000,"Widowed",TRUE,"Homeowner free and clear",FALSE,0,89,"missing",52371,0.420079815164881,0.508961108978838,TRUE,"(65,Inf]",NA
"Alabama",1216026,"M",NA,9600,"Never Married",FALSE,"Rented",FALSE,6,50,"missing",52371,0.183307555708312,0.574865092523396,TRUE,"(25,65]",24000
"Alabama",1036358,"F",TRUE,44500,"Divorced/Separated",TRUE,"Rented",TRUE,1,48,"employed",52371,0.849706898856237,0.177803508238867,FALSE,"(25,65]",NA
"Alabama",884334,"M",TRUE,51000,"Married",TRUE,"Rented",FALSE,2,52,"employed",52371,0.973821389700407,0.703088565962389,FALSE,"(25,65]",220000
"Alaska",415575,"M",NA,0,"Never Married",TRUE,NA,NA,NA,63,"missing",44191,0,0.956131165614352,TRUE,"(25,65]",85000
"Alaska",416144,"F",TRUE,82000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,44,"employed",44191,1.85558145323708,0.306658288929611,FALSE,"(25,65]",89200
"Arizona",1096606,"M",TRUE,52500,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,50,"employed",65720,0.798843578819233,0.421101192943752,FALSE,"(25,65]",170000
"Arizona",692445,"M",TRUE,140000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,5,48,"employed",65720,2.13024954351796,0.541752646910027,FALSE,"(25,65]",14400
"Arizona",68013,"M",NA,100,"Divorced/Separated",FALSE,NA,NA,NA,28,"missing",65720,0.00152160681679854,0.629409632878378,TRUE,"(25,65]",NA
"Arizona",940084,"M",TRUE,53000,"Never Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,29,"employed",65720,0.806451612903226,0.358310771174729,FALSE,"(25,65]",30000
"Arizona",492072,"F",TRUE,80000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,49,"employed",65720,1.21728545343883,0.446818600175902,FALSE,"(25,65]",80000
"Arizona",870909,"F",NA,4000,"Married",TRUE,"Homeowner free and clear",FALSE,2,57,"missing",65720,0.0608642726719416,0.501489596208557,TRUE,"(25,65]",NA
"Arizona",1372296,"F",NA,62000,"Widowed",TRUE,"Homeowner free and clear",TRUE,1,62,"missing",65720,0.943396226415094,0.369414650602266,FALSE,"(25,65]",35000
"Arizona",958271,"F",TRUE,180000,"Divorced/Separated",TRUE,"Rented",FALSE,1,39,"employed",65720,2.73889227023737,0.387902538757771,FALSE,"(25,65]",24000
"Arizona",498048,"M",TRUE,95000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,60,"employed",65720,1.44552647595861,0.7556032971479,FALSE,"(25,65]",75000
"Arizona",211330,"F",NA,12200,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,1,78,"missing",65720,0.185636031649422,0.581485864240676,TRUE,"(65,Inf]",80000
"Arizona",399150,"M",TRUE,50000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,38,"employed",65720,0.76080340839927,0.140432364074513,FALSE,"(25,65]",397000
"Arizona",291564,"F",NA,28100,"Widowed",TRUE,"Homeowner free and clear",FALSE,1,75,"missing",65720,0.42757151552039,0.00226770783774555,TRUE,"(65,Inf]",45000
"Arkansas",748153,"F",TRUE,34200,"Divorced/Separated",TRUE,"Homeowner free and clear",FALSE,1,58,"employed",48484,0.705387344278525,0.859183492138982,FALSE,"(25,65]",24900
"Arkansas",1269051,"F",NA,137600,"Widowed",TRUE,"Homeowner with mortgage/loan",FALSE,1,69,"missing",48484,2.83804966586915,0.637404395267367,FALSE,"(65,Inf]",17500
"Arkansas",874159,"F",TRUE,7500,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,2,47,"employed",48484,0.154690207078624,0.769732312299311,TRUE,"(25,65]",25800
"Arkansas",1200487,"M",NA,0,"Never Married",FALSE,NA,NA,NA,36,"missing",48484,0,0.978434404125437,TRUE,"(25,65]",NA
"Arkansas",253015,"M",TRUE,30000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,3,35,"employed",48484,0.618760828314496,0.513576715486124,FALSE,"(25,65]",22000
"Arkansas",399930,"M",TRUE,55000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,42,"employed",48484,1.13439485190991,0.76444373652339,FALSE,"(25,65]",NA
"Arkansas",961665,"M",NA,0,"Never Married",FALSE,NA,NA,NA,45,"missing",48484,0,0.441067085601389,TRUE,"(25,65]",NA
"Arkansas",356688,"F",TRUE,27000,"Never Married",FALSE,"Rented",FALSE,1,26,"employed",48484,0.556884745483046,0.657367538195103,TRUE,"(25,65]",36880
"Arkansas",1358975,"F",TRUE,92000,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,1,46,"employed",48484,1.89753320683112,0.821449507260695,FALSE,"(25,65]",NA
"Arkansas",55992,"F",NA,0,"Married",TRUE,"Rented",FALSE,1,38,"missing",48484,0,0.268570262240246,TRUE,"(25,65]",34300
"Arkansas",1079462,"F",TRUE,9500,"Never Married",TRUE,"Rented",FALSE,2,36,"employed",48484,0.195940928966257,0.675680170767009,TRUE,"(25,65]",90000
"Arkansas",1305771,"F",TRUE,14400,"Never Married",TRUE,"Rented",TRUE,1,31,"employed",48484,0.297005197590958,0.859083435963839,TRUE,"(25,65]",NA
"Arkansas",450221,"M",TRUE,15800,"Married",FALSE,"Homeowner with mortgage/loan",FALSE,2,64,"employed",48484,0.325880702912301,0.242316746618599,TRUE,"(25,65]",NA
"California",799565,"M",NA,1600,"Never Married",FALSE,NA,NA,NA,23,"missing",39832,0.0401687085760193,0.280219412175938,TRUE,"[0,25]",NA
"California",1199409,"M",TRUE,18000,"Never Married",FALSE,"Rented",FALSE,1,34,"employed",39832,0.451897971480217,0.867676487192512,TRUE,"(25,65]",NA
"California",167154,"M",NA,0,"Never Married",FALSE,NA,NA,NA,31,"missing",39832,0,0.538155999034643,TRUE,"(25,65]",45050
"California",1245912,"F",TRUE,14000,"Married",TRUE,"Occupied with no rent",FALSE,1,28,"employed",39832,0.351476200040169,0.172903408762068,TRUE,"(25,65]",46000
"California",616498,"M",TRUE,30000,"Never Married",FALSE,"Rented",FALSE,4,52,"employed",39832,0.753163285800362,0.523107590619475,FALSE,"(25,65]",139000
"California",461021,"F",FALSE,9600,"Widowed",TRUE,"Rented",FALSE,2,64,"not employed",39832,0.241012251456116,0.549291711999103,TRUE,"(25,65]",NA
"California",665669,"F",TRUE,38000,"Never Married",TRUE,"Rented",FALSE,4,33,"employed",39832,0.954006828680458,0.0121784138027579,FALSE,"(25,65]",84010
"California",1047534,"M",TRUE,200000,"Married",TRUE,"Homeowner with mortgage/loan",FALSE,4,130.401604710147,"employed",39832,5.02108857200241,0.700691057834774,FALSE,"(65,Inf]",NA
"California",1016594,"M",NA,14400,"Married",TRUE,"Rented",FALSE,1,69,"missing",39832,0.361518377184174,0.0981012887787074,TRUE,"(65,Inf]",51500
"California",1353087,"M",NA,0,"Never Married",FALSE,NA,NA,NA,25,"missing",39832,0,0.343431145418435,TRUE,"[0,25]",NA
"California",390273,"M",NA,27100,"Married",TRUE,"Homeowner free and clear",FALSE,2,64,"missing",39832,0.680357501506327,0.416211585048586,TRUE,"(25,65]",NA
"California",106956,"F",TRUE,150600,"Divorced/Separated",TRUE,"Homeowner with mortgage/loan",FALSE,2,50,"employed",39832,3.78087969471781,0.842099352739751,FALSE,"(25,65]",NA
